SUBTYPE
AMBYlate - Blue-spotted Salamander (Ambystoma laterale) - S5
AMBYmacu - Spotted Salamander (Ambystoma maculatum) - S5
HEMIscut - Four-toed Salamander (Hemidactylium scutatum) - S3
PLETcine - Eastern Red-backed Salamander (Plethodon cinereus) - S5
NOTOviri - Eastern Newt (Notophthalmus viridescens) - S5
NOTOvivi - Red-spotted Newt (Notophthalmus viridescens viridescens) - S5
ANAXamer - American Toad (Anaxyrus americanus) - S5
ANAXamam - Eastern American Toad (Anaxyrus americanus americanus) - S5
HYLAvers - Gray Treefrog (Dryophytes versicolor) - SNA
PSEUcruc - Spring Peeper (Pseudacris crucifer) - S5
LITHcate - American Bullfrog (Lithobates catesbeianus) - S5
LITHclam - Green Frog (Lithobates clamitans) - S5
LITHpalu - Pickerel Frog (Lithobates palustris) - S5
LITHpipi - Northern Leopard Frog (Lithobates pipiens) - S5
LITHpi.3 - Northern Leopard Frog - Eastern Population (Lithobates pipiens pop. 3) - S5
LITHsept - Mink Frog (Lithobates septentrionalis) - S5
LITHsylv - Wood Frog (Lithobates sylvaticus) - S5
GAVIadam - Yellow-Billed Loon (Gavia adamsii) - SNA
GAVIimme - Common Loon (Gavia immer) - S4B
GAVIpaci - Pacific Loon (Gavia pacifica) - SNA
GAVIstel - Red-throated Loon (Gavia stellata) - S4N,S5M
AECHocci - Western Grebe (Aechmophorus occidentalis) - SNA
PODIauri - Horned Grebe (Podiceps auritus) - S3N,SUM
PODIau.1 - Horned Grebe - Magdalen Islands population (Podiceps auritus pop. 1) - SNA
PODIau.2 - Horned Grebe - Western population (Podiceps auritus pop. 2) - S3N,SUM
PODIgris - Red-necked Grebe (Podiceps grisegena) - S4N
PODInigr - Eared Grebe (Podiceps nigricollis) - SNA
PODIpodi - Pied-billed Grebe (Podilymbus podiceps) - S4B
THALchlo - Yellow-nosed Albatross (Thalassarche chlororhynchos) - SNA
THALmela - Black-browed Albatross (Thalassarche melanophris) - SNA
ARDEgrav - Great Shearwater (Ardenna gravis) - S5N
ARDEgris - Sooty Shearwater (Ardenna grisea) - S5N
BULWbulw - Bulwer's Petrel (Bulweria bulwerii) - SNA
CALOdiom - Cory's Shearwater (Calonectris diomedea) - SNA
FULMglac - Northern Fulmar (Fulmarus glacialis) - S5N
PTERarmi - Trindade Petrel (Pterodroma arminjoniana) - SNA
PTERcaho - Bermuda Petrel (Pterodroma cahow) - SU
PTERfeae - Fea's Petrel (Pterodroma feae) - SNA
PTERhasi - Black-capped Petrel (Pterodroma hasitata) - SNA
PUFFbaro - Barolo Shearwater (Puffinus baroli) - SNA
PUFFlher - Audubon's Shearwater (Puffinus lherminieri) - SNA
PUFFpuff - Manx Shearwater (Puffinus puffinus) - S1?B
OCEAcast - Band-Rumped Storm-Petrel (Hydrobates castro) - SNA
OCEAleuc - Leach's Storm-Petrel (Hydrobates leucorhous) - S3B
HYDRpela - European Storm-Petrel (Hydrobates pelagicus) - SNA
OCEAocea - Wilson's Storm-Petrel (Oceanites oceanicus) - S5N
PELAmari - White-faced Storm-Petrel (Pelagodroma marina) - SNA
PHAEaeth - Red-billed Tropicbird (Phaethon aethereus) - SNA
PHAElept - White-tailed Tropicbird (Phaethon lepturus) - SNA
MORUbass - Northern Gannet (Morus bassanus) - SHB
SULAdact - Masked Booby (Sula dactylatra) - SNA
SULAleuc - Brown Booby (Sula leucogaster) - SNA
SULAsula - Red-footed Booby (Sula sula) - SNA
PELEeryt - American White Pelican (Pelecanus erythrorhynchos) - SNA
PELEocci - Brown Pelican (Pelecanus occidentalis) - SNA
NANNauri - Double-crested Cormorant (Nannopterum auritum) - S5B
PHALcarb - Great Cormorant (Phalacrocorax carbo) - S2S3B,S2S3N
FREGmagn - Magnificent Frigatebird (Fregata magnificens) - SNA
ARDEalba - Great Egret (Ardea alba) - SNA
ARDEcine - Gray Heron (Ardea cinerea) - SNA
ARDEhero - Great Blue Heron (Ardea herodias) - S4B,S4S5M
BOTAlent - American Bittern (Botaurus lentiginosus) - S3S4B,S4S5M
BUBUibis - Cattle Egret (Bubulcus ibis) - SNA
BUTOvire - Green Heron (Butorides virescens) - SNA
EGREcaer - Little Blue Heron (Egretta caerulea) - SNA
EGREgarz - LIttle Egret (Egretta garzetta) - SNA
EGREgula - Western Reef-Heron (Egretta gularis) - SNA
EGRErufe - Reddish Egret (Egretta rufescens) - SNA
EGREthul - Snowy Egret (Egretta thula) - SNA
EGREtric - Tricolored Heron (Egretta tricolor) - SNA
IXOBexil - Least Bittern (Ixobrychus exilis) - SUB
NYCTviol - Yellow-crowned Night-heron (Nyctanassa violacea) - SNA
NYCTnyct - Black-crowned Night-heron (Nycticorax nycticorax) - S1B
EUDOalbu - White Ibis (Eudocimus albus) - SNA
EUDOrube - Scarlet Ibis (Eudocimus ruber) - SNA
PLATajaj - Roseate Spoonbill (Platalea ajaja) - SNA
